original order,Year,Gender,Type,Fatal (Y/N/UNKNOWN),Country
2.0,0.0,M,Unprovoked,Y,CEYLON (SRI LANKA)
3.0,0.0,M,Unprovoked,Y,PANAMA
4.0,0.0,M,Unprovoked,Y,USA
5.0,0.0,M,Unprovoked,Y,AUSTRALIA
6.0,0.0,M,Unprovoked,Y,AUSTRALIA
7.0,0.0,M,Unprovoked,Y,AUSTRALIA
8.0,0.0,M,Unprovoked,Y,AUSTRALIA
9.0,0.0,M,Unprovoked,Y,AUSTRALIA
10.0,0.0,M,Unprovoked,Y,AUSTRALIA
11.0,0.0,F,Unprovoked,N,USA
12.0,0.0,M,Unprovoked,N,ASIA?
13.0,0.0,M,Unprovoked,Y,SOUTH AFRICA
14.0,0.0,M,Unprovoked,Y,SOUTH AFRICA
15.0,0.0,M,Unprovoked,N,USA
16.0,0.0,,Unprovoked,Y,FIJI
17.0,0.0,M,Unprovoked,Y,SOUTH AFRICA
18.0,0.0,M,Unprovoked,Y,SOUTH AFRICA
19.0,0.0,M,Unprovoked,N,VIETNAM
20.0,0.0,M,Unprovoked,N,USA
21.0,0.0,M,Unprovoked,Y,AUSTRALIA
22.0,0.0,M,Unprovoked,Y,SOUTH AFRICA
23.0,0.0,M,Unprovoked,N,AUSTRALIA
24.0,0.0,F,Unprovoked,N,SOUTH AFRICA
25.0,0.0,,Unprovoked,Y,REUNION
26.0,0.0,M,Unprovoked,UNKNOWN,AUSTRALIA
27.0,0.0,M,Unprovoked,Y,BELIZE
28.0,0.0,M,Unprovoked,N,GREECE
29.0,0.0,M,Boat,N,ITALY
30.0,0.0,M,Unprovoked,Y,BURMA
31.0,0.0,M,Sea Disaster,N,PAPUA NEW GUINEA
32.0,0.0,M,Sea Disaster,N,PAPUA NEW GUINEA
33.0,0.0,M,Provoked,N,BURMA
34.0,0.0,M,Sea Disaster,Y,PACIFIC OCEAN
35.0,0.0,M,Unprovoked,N,SAUDI ARABIA
36.0,0.0,M,Unprovoked,N,SAUDI ARABIA
37.0,0.0,M,Unprovoked,Y,SAUDI ARABIA
38.0,0.0,M,Unprovoked,Y,IRAQ
39.0,0.0,M,Unprovoked,Y,IRAN
40.0,0.0,M,Unprovoked,Y,IRAN
41.0,0.0,M,Unprovoked,Y,IRAN
42.0,0.0,M,Unprovoked,N,AUSTRALIA
43.0,0.0,M,Unprovoked,N,SOLOMON ISLANDS
44.0,0.0,,Sea Disaster,Y,
45.0,0.0,M,Unprovoked,Y,KIRIBATI
46.0,0.0,M,Unprovoked,N,NORTH PACIFIC OCEAN
47.0,0.0,M,Unprovoked,N,KIRIBATI
48.0,0.0,M,Unprovoked,N,MARSHALL ISLANDS
49.0,0.0,M,Provoked,Y,CUBA
50.0,0.0,M,Unprovoked,Y,NICARAGUA
51.0,0.0,M,Unprovoked,Y,INDIA
52.0,0.0,M,Unprovoked,Y,INDONESIA
53.0,0.0,M,Provoked,N,BAHAMAS
54.0,0.0,M,Unprovoked,N,USA
55.0,0.0,M,Unprovoked,Y,MADAGASCAR
56.0,0.0,F,Unprovoked,N,FIJI
57.0,0.0,M,Unprovoked,N,BERMUDA
58.0,0.0,F,Unprovoked,N,USA
59.0,0.0,M,Unprovoked,N,BAHAMAS
60.0,0.0,M,Unprovoked,N,IRAQ
61.0,0.0,M,Unprovoked,N,IRAQ
62.0,0.0,M,Unprovoked,N,IRAQ
63.0,0.0,M,Unprovoked,Y,SEYCHELLES
64.0,0.0,M,Unprovoked,N,MOZAMBIQUE
65.0,0.0,M,Unprovoked,N,FIJI
66.0,0.0,,Unprovoked,N,SINGAPORE
67.0,0.0,M,Unprovoked,N,AUSTRALIA
68.0,0.0,M,Unprovoked,N,AUSTRALIA
69.0,0.0,M,Unprovoked,Y,MEDITERRANEAN SEA
70.0,0.0,M,Unprovoked,Y,USA
71.0,0.0,M,Invalid,,USA
72.0,0.0,F,Unprovoked,Y,GREECE
73.0,0.0,M,Unprovoked,N,USA
74.0,0.0,M,Unprovoked,Y,SOUTH AFRICA
75.0,0.0,F,Unprovoked,N,RED SEA?
76.0,0.0,M,Invalid,Y,PAPUA NEW GUINEA
77.0,0.0,M,Provoked,N,USA
78.0,0.0,M,Unprovoked,N,IRAN
79.0,0.0,M,Provoked,N,VANUATU
80.0,0.0,F,Unprovoked,Y,VANUATU
81.0,0.0,M,Unprovoked,N,SUDAN
82.0,0.0,M,Unprovoked,N,FRENCH POLYNESIA
83.0,0.0,F,Unprovoked,Y,KOREA
84.0,0.0,M,Unprovoked,N,SOLOMON ISLANDS
85.0,0.0,M,Unprovoked,N,REUNION
86.0,0.0,M,Unprovoked,N,USA
87.0,0.0,M,Unprovoked,N,BAHAMAS
88.0,0.0,M,Unprovoked,Y,BAHREIN
89.0,0.0,M,Unprovoked,N,AUSTRALIA
90.0,0.0,M,Unprovoked,Y,SOUTH AFRICA
91.0,0.0,,Boat,N,MOZAMBIQUE
92.0,0.0,M,Unprovoked,Y,GREECE
93.0,0.0,M,Unprovoked,N,USA
94.0,0.0,M,Unprovoked,Y,VENEZUELA
95.0,0.0,M,Unprovoked,N,SRI LANKA
96.0,0.0,M,Unprovoked,N,VIETNAM
97.0,0.0,F,Unprovoked,N,
98.0,0.0,M,Unprovoked,Y,NEW ZEALAND
99.0,0.0,M,Unprovoked,N,AUSTRALIA
100.0,0.0,M,Unprovoked,Y,LIBYA
101.0,0.0,,Unprovoked,Y,DJIBOUTI
102.0,0.0,M,Unprovoked,N,USA
103.0,0.0,F,Unprovoked,N,USA
104.0,0.0,M,Provoked,N,
105.0,0.0,F,Unprovoked,N,SUDAN
106.0,0.0,,Unprovoked,N,SPAIN
107.0,0.0,M,Unprovoked,N,LEBANON
