original order,Year,Country,Area,Location
106.0,1862,SPAIN,Canary Islands,Tenerife
333.0,1862,SPAIN,Andalucia,Off Algeciras
334.0,1862,SPAIN,Andalucia,Off Algeciras
335.0,1862,SPAIN,Andalucia,San Andres Beach
336.0,1862,SPAIN,Andalucia,Fuengirola
360.0,1864,SPAIN,Catalunya,Badalona
472.0,1879,SPAIN,Valencia,Castellon de la Plana
870.0,1908,SPAIN,Canary Islands,"Tazacorte, La Palma"
871.0,1908,SPAIN,Galicia,Cape Finisterre
882.0,1909,SPAIN,Andalucia,"Puente Mayorga, San Roque, Cádiz"
917.0,1911,SPAIN,Andalucia,Ceuta
924.0,1912,SPAIN,Balearics,Isla Cabrera
995.0,1916,SPAIN,Canary Islands,Las Palmas
1116.0,1924,SPAIN,Galicia,Sisargas Islands
1140.0,1925,SPAIN,Valencia,Valencia
1154.0,1926,SPAIN,Catalunya,"Casa Antunez Beach, Barcelona"
1238.0,1929,SPAIN,Valencia,Nasareth Beach
1265.0,1930,SPAIN,Canary Islands,"El Escabonal, Tenerife "
2444.0,1962,SPAIN,Catalunya,Aigua Blava
2894.0,1970,SPAIN,Canary Islands,"Icod de los Vinos, Tenerife"
3244.0,1980,SPAIN,Canary Islands,"San Juan de la Rambla, Tenerife"
3481.0,1986,SPAIN,Andalucia,Tarifa 
3482.0,1986,SPAIN,Catalunya,Lloret-de-Mar
3827.0,1993,SPAIN,Valencia,"Playa de las Arenas, Valencia "
4845.0,2006,SPAIN,Valencia,San Juan Beach  
5196.0,2009,SPAIN,Catalunya,Sant Salvador
5292.0,2010,SPAIN,Canary Islands,"Sardina del Norte, Gáldar"
5646.0,2013,SPAIN,Catalunya,"Sant Marti dEmpuries Beach, LEscala"
5774.0,2014,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife"
5794.0,2014,SPAIN,Valencia,Benidorm
5799.0,2014,SPAIN,Catalunya,Salou
5832.0,2014,SPAIN,Andalucia,Off Motril
5925.0,2015,SPAIN,Valencia,"Poniente Beach, Benidorm"
5982.0,2015,SPAIN,Canary Islands,"Arinaga Beach, Aguimes, Gran Canaria"
6054.0,2016,SPAIN,Canary Islands,"Las Teresitas, Tenerife"
6069.0,2016,SPAIN,Valencia,Arenales del Sol
6173.0,2017,SPAIN,Balearics,Playa den Bossa
6190.0,2017,SPAIN,Balearics,"Estanys Beach, Colonia de Sant"
6205.0,2017,SPAIN,Valencia,Grao de Moncofa
6221.0,2017,SPAIN,Canary Islands,Gran Canaria 
